Namespace,Key,英文原文,原版中文（官方zh）,AI翻译,DeepSeek参考,翻译状态,生效预估（AI预估，仅供参考）
（根命名空间）,003D37A143C7B141BE4271B075763B5C,"Press and hold [B] to toggle boosters. They will help you perform an immediate stop. You can also toggle them from the systems menu. This way, whenever you release your throttle input, the boosters will engage and help stop your ship. Boosters must be built separately for each hulk node via their info window.",,按住 [B] 切换推进器。它们将帮助你立即停止。你也可以从系统菜单中切换它们。这样，每当你松开油门输入时，推进器就会启动并帮助你的飞船停止。推进器必须通过各个船体节点的信息窗口单独建造。,按住[B]来切换助推器。它们能帮助你立刻停船。你也可以在系统菜单中切换它们。这样一来，每当你松开油门，助推器就会启动并协助你的飞船制动。助推器必须通过每个残骸节点的信息窗口单独建造。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,00B8E7AC472576DCA01289AAEEB59777,A small battery for storing excessive energy.,,用于储存多余能量的小型电池。,用于储存多余能量的小型电池。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,0223B2054157326BF5828FAEE55A2339,Build Solar Panels ,,建造太阳能板 ,建造太阳能板,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,03439AA046EF8C12CC428EB6AA5CCC42,Weapons,武器,,武器,原版已有,✅ 已生效（原版支持）
（根命名空间）,036F996549D512786CB8D594F7B4E465,Destroy Enemies ,摧毁敌人 ,,摧毁敌舰,原版已有,✅ 已生效（原版支持）
（根命名空间）,03B8919D4962EE10FD08A89A277E6FBE,ROOKIE THORIUM MINER,新锐钍矿工,,钍矿采集新手,原版已有,✅ 已生效（原版支持）
（根命名空间）,03D1B0E34A6A88052D9E18BBABDC88FD,A good compact all-rounder.,,紧凑型全能单位。,一款不错的紧凑型多面手。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,04BA9D614AFCE2998A62B68FAAEA0729,ROOKIE THORIUM SALVAGE,新锐钍矿回收工,,钍材打捞新手,原版已有,✅ 已生效（原版支持）
（根命名空间）,04DC08EB47FB1F47509C93B7E148944D,Cleft Node,裂隙节点,,裂隙节点,原版已有,✅ 已生效（原版支持）
（根命名空间）,05C1304740286808A7C8F48DCC8434A3,Energy Battery,,能源电池,能量电池,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,0628B2254F778665A07A46BFC67FABCF,VETERAN COMMANDER,老练指挥官,,王牌指挥官,原版已有,✅ 已生效（原版支持）
（根命名空间）,065EC76A476F2D0A8F07ACA787228545,I CAN PLAY,准备就绪,,我有能力游玩,原版已有,✅ 已生效（原版支持）
（根命名空间）,078459A3470921CDFF116DBB4768CBC9,NOT GREAT NOT TERRIBLE,不太好也不太坏,,不算好也不算差,原版已有,✅ 已生效（原版支持）
（根命名空间）,0A7BD02B4FD178B70CFFF6B803E05251,VETERAN PROTECTOR,老练军械师,,王牌守护者,原版已有,✅ 已生效（原版支持）
（根命名空间）,0BB5CA984A9ECBE9BE3C27840241EADF,Close Window,关闭窗口,,关闭窗口,原版已有,✅ 已生效（原版支持）
（根命名空间）,0D3DE6914E10C59F4A70A191E20AAEDA,SPLITTIN ATOMS,分裂原子,,裂解原子,原版已有,✅ 已生效（原版支持）
（根命名空间）,0E0613DD4FC1808E8765E2A0250A4C95,MASTER SILICATE MINER,硅酸盐挖掘专家,,硅酸盐采矿大师,原版已有,✅ 已生效（原版支持）
（根命名空间）,0E60EF44406814D3F801C1B9AA5C3E99,Destroy Enemy Mothership,,摧毁敌方母舰,摧毁敌方母舰,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
